TC_ID	Chr.wt	start	end	Strand.dcp2	Assigned_gene_name	in_coding_gene
3410	chrX	28465	28512	+	NA	YJL022W
3411	chrX	31807	31880	+	YJL213W	NA
3412	chrX	36770	36890	+	YJL210W	NA
3413	chrX	36968	37028	+	NA	YJL026W
3414	chrX	37182	37245	+	NA	YJL026W
3415	chrX	37903	37945	+	YJL209W	NA
3416	chrX	47645	47690	+	NA	NA
3417	chrX	50019	50056	+	NA	NA
3418	chrX	50225	50248	+	NA	NA
3419	chrX	53289	53349	+	YJL203W	NA
3420	chrX	54354	54376	+	YJL201W	NA
3421	chrX	58199	58222	+	NA	NA
3422	chrX	59299	59334	+	NA	NA
3423	chrX	60771	60833	+	YJL198W	NA
3424	chrX	61293	61330	+	NA	YJL033W
3425	chrX	63726	63765	+	YJL197W	NA
3426	chrX	67800	67817	+	NA	NA
3427	chrX	67891	67922	+	NA	NA
3428	chrX	69269	69300	+	YJL194W	NA
3429	chrX	70414	70468	+	NA	YJL036W
3430	chrX	71347	71368	+	YJL193W	NA
3431	chrX	73757	73766	+	YJL191W	NA
3432	chrX	74300	74357	+	NA	YJL041W
3433	chrX	75890	75908	+	YJL189W	NA
3434	chrX	76819	76915	+	NA	NA
3435	chrX	79754	79787	+	YJL186W	NA
3436	chrX	80119	80134	+	YJL186W	NA
3437	chrX	80395	80397	+	NA	YJL043W
3438	chrX	82055	82126	+	NA	NA
3439	chrX	83194	83250	+	YJL184W	NA
3440	chrX	83401	83419	+	YJL184W	NA
3441	chrX	83988	84026	+	YJL183W	NA
3442	chrX	85600	85646	+	YJL181W	NA
3443	chrX	87787	87904	+	YJL179W	NA
3444	chrX	88698	88723	+	YJL179W	NA
3445	chrX	90550	90564	+	YJL177W	NA
3446	chrX	90698	90773	+	YJL177W	NA
3447	chrX	90971	91026	+	NA	YJL051W
3448	chrX	91415	91423	+	NA	YJL051W
3449	chrX	94958	95002	+	YJL174W	NA
3450	chrX	95244	95245	+	NA	YJL053W
3451	chrX	97696	97709	+	YJL172W	NA
3452	chrX	101091	101123	+	YJL169W	NA
3453	chrX	101237	101261	+	YJL169W	NA
3454	chrX	104435	104445	+	YJL167W	NA
3455	chrX	104755	104776	+	YJL167W	NA
3456	chrX	104944	104962	+	YJL167W	NA
3457	chrX	105082	105380	+	NA	YJL059W
3458	chrX	106358	106382	+	YJL166W	NA
3459	chrX	109786	109824	+	NA	NA
3460	chrX	111552	111596	+	NA	NA
3461	chrX	114943	114953	+	NA	NA
3462	chrX	116446	116488	+	YJL161W	NA
3463	chrX	116687	116694	+	YJL161W	NA
3464	chrX	117181	117304	+	YJL161W	NA
3465	chrX	117447	117467	+	NA	YJL061W
3466	chrX	117864	117885	+	NA	NA
3467	chrX	120395	120399	+	YJL159W	NA
3468	chrX	120656	120875	+	NA	YJL062W
3469	chrX	120965	121187	+	NA	YJL062W
3471	chrX	123809	123820	+	NA	NA
3472	chrX	123919	124070	+	NA	NA
3473	chrX	126672	126855	+	NA	YJL062W-A
3474	chrX	126855	126867	+	NA	NA
3475	chrX	131079	131178	+	NA	NA
3476	chrX	135962	135983	+	YJL152W	NA
3477	chrX	136347	136350	+	NA	YJL064W
3478	chrX	136578	136673	+	YJL150W	NA
3479	chrX	137323	137352	+	YJL149W	YJL067W
3480	chrX	140362	140395	+	YJL148W	NA
3481	chrX	142728	142731	+	YJL146W	NA
3482	chrX	142830	142873	+	YJL146W	NA
3483	chrX	143150	143210	+	YJL146W	NA
3484	chrX	145075	145151	+	YJL145W	NA
3485	chrX	146323	146329	+	YJL144W	NA
3486	chrX	147046	147071	+	YJL143W	NA
3487	chrX	147268	147440	+	NA	YJL082W
3488	chrX	150853	150894	+	YJL140W	NA
3489	chrX	150995	151017	+	YJL140W	YJL083W
3490	chrX	152373	152403	+	NA	NA
3491	chrX	152454	152469	+	NA	NA
3492	chrX	154973	155034	+	NA	NA
3493	chrX	157756	157779	+	YJL135W	NA
3494	chrX	157887	157921	+	YJL134W	YJL088W
3495	chrX	158127	158157	+	YJL134W	YJL088W
3496	chrX	160464	160616	+	YJL133W	NA
3497	chrX	160910	161034	+	NA	YJL092W
3498	chrX	161892	161984	+	YJL132W	YJL095W
3499	chrX	163009	163050	+	NA	YJL095W
3500	chrX	164417	164440	+	NA	NA
3501	chrX	172714	172817	+	NA	NA
3502	chrX	177809	177864	+	NA	NA
3503	chrX	180443	180536	+	NA	NA
3504	chrX	181497	181531	+	NA	NA
3505	chrX	184437	184497	+	YJL126W	NA
3506	chrX	185111	185171	+	NA	YJL097W
3507	chrX	186866	186909	+	NA	NA
3508	chrX	187407	187450	+	NA	NA
3509	chrX	189675	189718	+	YJL122W	NA
3510	chrX	191638	191735	+	YJL118W	YJL100W
3511	chrX	191837	191942	+	NA	YJL100W
3512	chrX	192439	192516	+	YJL117W	NA
3513	chrX	193667	193698	+	NA	NA
3514	chrX	193784	193903	+	NA	NA
3515	chrX	195625	195647	+	YJL115W	NA
3516	chrX	196109	196111	+	YJL115W	NA
3517	chrX	196203	196241	+	YJL115W	NA
3518	chrX	196331	196344	+	YJL115W	YJL104W
3519	chrX	196763	196764	+	NA	YJL104W
3520	chrX	196880	196889	+	NA	YJL104W
3521	chrX	198050	198058	+	NA	YJL105W
3522	chrX	198538	198572	+	YJL113W	YJL105W
3523	chrX	201215	201222	+	NA	YJL106W
3524	chrX	204916	204981	+	YJL112W	NA
3525	chrX	205253	205307	+	YJL112W	NA
3526	chrX	206087	206111	+	NA	YJL111W
3527	chrX	207806	207830	+	YJL111W	NA
3528	chrX	211900	211917	+	NA	NA
3529	chrX	220581	220687	+	YJL106W	NA
3530	chrX	220780	220782	+	YJL106W	NA
3531	chrX	221104	221119	+	YJL106W	NA
3532	chrX	223721	223748	+	NA	NA
3533	chrX	226904	226948	+	YJL104W	NA
3534	chrX	227283	227305	+	YJL104W	NA
3535	chrX	231259	231291	+	YJL102W	NA
3536	chrX	236817	236920	+	YJL100W	NA
3537	chrX	237198	237269	+	YJL100W	NA
3538	chrX	239302	239434	+	YJL099W	YJL120W
3539	chrX	241238	241260	+	NA	YJL120W
3540	chrX	241817	241946	+	YJL098W	NA
3541	chrX	245526	245569	+	YJL097W	NA
3542	chrX	246444	246455	+	YJL096W	NA
3543	chrX	247149	247199	+	YJL095W	NA
3544	chrX	248133	248166	+	NA	YJL132W
3545	chrX	253948	254036	+	NA	NA
3546	chrX	257203	257249	+	YJL092W	NA
3547	chrX	265802	265802	+	YJL089W	NA
3548	chrX	265917	265932	+	YJL089W	NA
3549	chrX	268093	268122	+	NA	YJL134W
3550	chrX	268773	268777	+	YJL088W	NA
3551	chrX	268930	268934	+	NA	YJL135W
3552	chrX	272738	272784	+	YJL085W	NA
3553	chrX	278337	278353	+	YJL083W	NA
3554	chrX	278774	278801	+	YJL083W	NA
3555	chrX	279128	279140	+	NA	YJL140W
3556	chrX	280912	280932	+	YJL082W	NA
3557	chrX	281067	281146	+	YJL082W	NA
3558	chrX	281829	281889	+	NA	YJL143W
3559	chrX	289647	289659	+	NA	NA
3560	chrX	291415	291611	+	NA	NA
3561	chrX	291702	291829	+	NA	NA
3562	chrX	291994	292032	+	NA	NA
3563	chrX	293133	293158	+	YJL077W-B	NA
3564	chrX	294640	294676	+	YJL077W-A	NA
3565	chrX	295051	295072	+	YJL076W	NA
3566	chrX	295167	295219	+	YJL076W	NA
3567	chrX	303083	303156	+	YJL073W	NA
3568	chrX	305828	305877	+	YJL071W	NA
3569	chrX	306039	306087	+	YJL071W	NA
3570	chrX	307098	307101	+	NA	YJL149W
3571	chrX	310315	310455	+	NA	NA
3572	chrX	315732	315752	+	YJL062W-A	NA
3573	chrX	316688	316712	+	YJL062W-A	NA
3574	chrX	317189	317286	+	YJL062W	NA
3575	chrX	317411	317470	+	NA	YJL159W
3576	chrX	319965	319979	+	YJL061W	NA
3577	chrX	323321	323393	+	YJL060W	YJL166W
3578	chrX	323599	323625	+	NA	YJL166W
3579	chrX	324106	324163	+	NA	YJL166W
3580	chrX	324886	324945	+	YJL059W	NA
3581	chrX	325293	325357	+	NA	YJL167W
3582	chrX	327478	327507	+	NA	NA
3583	chrX	327822	327830	+	NA	NA
3584	chrX	329781	329813	+	NA	NA
3585	chrX	331998	332035	+	NA	NA
3586	chrX	333127	333175	+	YJL055W	NA
3587	chrX	333319	333356	+	YJL055W	NA
3588	chrX	333508	333557	+	NA	YJL169W
3589	chrX	333635	333639	+	NA	YJL169W
3590	chrX	334257	334279	+	YJL054W	NA
3591	chrX	335850	335876	+	YJL053W	NA
3592	chrX	336011	336042	+	NA	YJL174W
3593	chrX	337501	337527	+	YJL052W	NA
3594	chrX	338004	338104	+	YJL052W	NA
3595	chrX	338197	338200	+	YJL052W	NA
3596	chrX	338333	338353	+	NA	YJL175W
3597	chrX	339684	339712	+	YJL051W	NA
3598	chrX	340618	340642	+	NA	YJL177W
3599	chrX	341814	341852	+	NA	YJL177W
3600	chrX	342461	342495	+	YJL050W	NA
3601	chrX	345946	345975	+	YJL049W	NA
3602	chrX	349138	349202	+	NA	NA
3603	chrX	352362	352408	+	YJL046W	YJL183W
3604	chrX	354435	354476	+	NA	NA
3605	chrX	357492	357541	+	NA	YJL184W
3606	chrX	358985	359011	+	NA	NA
3607	chrX	361116	361200	+	YJL042W	NA
3608	chrX	361730	361764	+	NA	YJL189W
3609	chrX	361864	361888	+	NA	YJL189W
3610	chrX	365708	365737	+	YJL041W	NA
3611	chrX	375033	375160	+	NA	NA
3612	chrX	375391	375431	+	NA	NA
3613	chrX	377106	377159	+	NA	YJL193W
3614	chrX	378701	378756	+	YJL036W	NA
3615	chrX	380577	380675	+	YJL034W	NA
3616	chrX	380774	380822	+	YJL034W	NA
3617	chrX	381259	381289	+	YJL034W	NA
3618	chrX	382576	382618	+	NA	YJL197W
3619	chrX	382787	382842	+	NA	YJL197W
3620	chrX	383785	383820	+	YJL033W	NA
3621	chrX	385745	385750	+	NA	YJL198W
3622	chrX	387584	387644	+	YJL030W	NA
3623	chrX	387856	387859	+	NA	YJL203W
3624	chrX	392151	392181	+	YJL026W	NA
3625	chrX	392310	392369	+	YJL026W	NA
3626	chrX	392875	392944	+	NA	YJL210W
3627	chrX	393214	393235	+	NA	YJL210W
3628	chrX	393887	393933	+	YJL025W	NA
3629	chrX	395895	396000	+	NA	NA
3630	chrX	398282	398382	+	NA	YJL214W
3631	chrX	398527	398570	+	NA	NA
3632	chrX	402781	402802	+	YJL019W	NA
3633	chrX	403198	403245	+	NA	YJL218W
3634	chrX	405226	405479	+	YJL016W	NA
3635	chrX	405618	405663	+	YJL016W	YJL219W
3636	chrX	406484	406502	+	NA	YJL219W
3637	chrX	407496	407542	+	YJL014W	NA
3638	chrX	408191	408193	+	NA	YJL220W
3639	chrX	408354	408355	+	NA	YJL220W
3640	chrX	410600	410642	+	NA	NA
3641	chrX	421896	421929	+	NA	NA
3642	chrX	425013	425029	+	YJL005W	NA
3643	chrX	426330	426359	+	NA	YJL222W-A
3644	chrX	426803	426824	+	NA	YJL222W-A
3645	chrX	431850	431865	+	YJL003W	NA
3646	chrX	432417	432486	+	YJL003W	NA
3647	chrX	432572	432628	+	YJL003W	NA
3648	chrX	432709	432730	+	NA	YJL222W-B
3649	chrX	434915	434938	+	YJL001W	NA
3650	chrX	435103	435152	+	YJL001W	NA
3651	chrX	436732	436772	+	YJR001W	NA
3652	chrX	437332	437333	+	NA	YJR001W
3653	chrX	438833	438860	+	YJR002W	NA
3654	chrX	442808	442842	+	NA	NA
3655	chrX	444906	444941	+	NA	NA
3656	chrX	445858	445883	+	YJR005W	NA
3657	chrX	449180	449204	+	YJR006W	NA
3658	chrX	450898	450975	+	YJR007W	NA
3659	chrX	452283	452432	+	YJR008W	NA
3660	chrX	456026	456059	+	YJR010W	NA
3661	chrX	456143	456200	+	YJR010W	NA
3662	chrX	456665	456704	+	NA	YJR010W
3663	chrX	457136	457208	+	NA	YJR010W
3664	chrX	457927	457974	+	NA	NA
3665	chrX	459395	459429	+	YJR013W	NA
3666	chrX	460318	460377	+	YJR013W	NA
3667	chrX	460517	460532	+	NA	YJR013W
3668	chrX	461777	461801	+	YJR014W	NA
3669	chrX	462701	462750	+	YJR015W	YJR015W
3670	chrX	462964	463066	+	NA	YJR015W
3671	chrX	466472	466572	+	YJR018W	NA
3672	chrX	467241	467267	+	YJR020W	NA
3673	chrX	468489	468548	+	NA	NA
3674	chrX	469742	469769	+	YJR022W	NA
3675	chrX	472151	472285	+	YJR026W	NA
3676	chrX	472862	472887	+	NA	YJR027W
3677	chrX	474050	474089	+	NA	YJR027W
3678	chrX	475078	475080	+	NA	YJR027W
3679	chrX	475485	475495	+	NA	YJR027W
3680	chrX	476385	476413	+	NA	YJR027W
3681	chrX	484553	484587	+	NA	NA
3682	chrX	491039	491083	+	YJR032W	NA
3683	chrX	491610	491657	+	NA	YJR032W
3684	chrX	491891	491915	+	NA	YJR032W
3685	chrX	496580	496642	+	YJR034W	NA
3686	chrX	497332	497364	+	YJR035W	NA
3687	chrX	503688	503750	+	YJR039W	NA
3688	chrX	503944	504044	+	YJR039W	YJR039W
3689	chrX	505326	505364	+	NA	YJR039W
3690	chrX	507691	507739	+	YJR040W	NA
3691	chrX	514018	514042	+	YJR042W	NA
3692	chrX	518292	518320	+	NA	NA
3693	chrX	518647	518658	+	NA	NA
3694	chrX	521998	522043	+	YJR046W	NA
3695	chrX	526167	526173	+	YJR048W	NA
3696	chrX	526265	526299	+	YJR048W	NA
3697	chrX	528055	528063	+	YJR050W	NA
3698	chrX	528661	528699	+	YJR050W	NA
3699	chrX	529792	529875	+	YJR051W	NA
3700	chrX	532002	532095	+	YJR052W	YJR052W
3701	chrX	533964	534022	+	YJR053W	NA
3702	chrX	535950	536038	+	YJR054W	NA
3703	chrX	538762	538794	+	YJR055W	NA
3704	chrX	543203	543220	+	YJR057W	NA
3705	chrX	544037	544100	+	YJR057W	NA
3706	chrX	544282	544293	+	NA	YJR057W
3707	chrX	545689	545726	+	YJR059W	NA
3708	chrX	548634	548734	+	YJR060W	NA
3709	chrX	550217	550248	+	YJR061W	NA
3710	chrX	550375	550410	+	YJR061W	NA
3711	chrX	550754	550769	+	NA	YJR061W
3712	chrX	555148	555177	+	YJR063W	NA
3713	chrX	555845	555878	+	YJR064W	NA
3714	chrX	559368	559402	+	YJR066W	NA
3715	chrX	565414	565467	+	NA	YJR066W
3716	chrX	567590	567640	+	YJR068W	NA
3717	chrX	568980	569006	+	NA	NA
3718	chrX	569167	569188	+	NA	NA
3719	chrX	572345	572348	+	YJR074W	NA
3720	chrX	573158	573185	+	NA	YJR074W
3721	chrX	573254	573380	+	NA	YJR074W
3722	chrX	573491	573528	+	YJR075W	YJR074W
3723	chrX	573919	573955	+	YJR075W	NA
3724	chrX	576866	576897	+	NA	NA
3725	chrX	578877	578897	+	YJR078W	YJR078W
3726	chrX	579439	579540	+	NA	YJR078W
3727	chrX	579778	579889	+	YJR079W	YJR078W
3728	chrX	580823	580858	+	NA	YJR079W
3729	chrX	582565	582593	+	NA	NA
3730	chrX	583682	583733	+	YJR084W	NA
3731	chrX	586036	586064	+	YJR086W	NA
3732	chrX	587582	587669	+	YJR089W	NA
3733	chrX	598633	598727	+	YJR092W	NA
3734	chrX	599779	599803	+	NA	YJR092W
3735	chrX	606874	606893	+	NA	NA
3736	chrX	607526	607529	+	YJR094W-A	NA
3737	chrX	607755	607765	+	YJR094W-A	NA
3738	chrX	607902	607933	+	YJR094W-A	NA
3739	chrX	608282	608287	+	YJR094W-A	NA
3740	chrX	610498	610597	+	NA	YJR095W
3741	chrX	611073	611246	+	YJR096W	NA
3742	chrX	611651	611674	+	NA	YJR096W
3743	chrX	612308	612350	+	YJR097W	NA
3744	chrX	615442	615495	+	YJR099W	NA
3745	chrX	615701	615741	+	NA	YJR099W
3746	chrX	615987	616011	+	NA	YJR099W
3747	chrX	618138	618226	+	YJR101W	NA
3748	chrX	620610	620747	+	YJR103W	NA
3749	chrX	622088	622101	+	NA	YJR103W
3750	chrX	623171	623197	+	YJR105W	NA
3751	chrX	623398	623450	+	YJR105W	NA
3752	chrX	623538	623561	+	YJR105W	NA
3753	chrX	623770	623976	+	NA	YJR105W
3754	chrX	624678	624708	+	YJR106W	NA
3755	chrX	624767	624840	+	YJR106W	NA
3756	chrX	628868	628919	+	NA	YJR108W
3757	chrX	633474	633538	+	YJR110W	NA
3758	chrX	636981	637026	+	YJR112W	NA
3759	chrX	637741	637801	+	YJR112W-A	YJR112W-A
3760	chrX	638725	638767	+	NA	YJR114W
3761	chrX	639271	639339	+	YJR115W	NA
3762	chrX	639852	639889	+	YJR115W	NA
3763	chrX	640121	640130	+	NA	YJR115W
3764	chrX	640669	640848	+	YJR116W	YJR116W
3765	chrX	641034	641100	+	NA	YJR116W
3766	chrX	641182	641198	+	NA	YJR116W
3767	chrX	641335	641353	+	NA	YJR116W
3768	chrX	641955	641993	+	YJR117W	NA
3769	chrX	647414	647414	+	YJR121W	YJR120W
3770	chrX	647838	647871	+	NA	YJR121W
3771	chrX	647931	648004	+	NA	YJR121W
3772	chrX	648155	648280	+	NA	YJR121W
3773	chrX	648522	648716	+	NA	YJR121W
3774	chrX	649698	649756	+	YJR122W	NA
3775	chrX	650003	650072	+	NA	YJR122W
3776	chrX	651597	651688	+	YJR123W	NA
3777	chrX	651865	651878	+	YJR123W	NA
3778	chrX	651965	652057	+	NA	YJR123W
3779	chrX	652123	652231	+	NA	YJR123W
3780	chrX	654394	654445	+	NA	NA
3781	chrX	658877	658888	+	NA	NA
3782	chrX	662492	662589	+	YJR128W	NA
3783	chrX	663349	663392	+	NA	NA
3784	chrX	663455	663464	+	NA	NA
3785	chrX	663739	663755	+	NA	NA
3786	chrX	665247	665272	+	NA	NA
3787	chrX	667354	667411	+	YJR131W	NA
3788	chrX	667592	667656	+	YJR131W	YJR131W
3789	chrX	667806	667827	+	NA	YJR131W
3790	chrX	669461	669515	+	YJR132W	NA
3791	chrX	672878	672972	+	YJR133W	NA
3792	chrX	673228	673240	+	NA	YJR133W
3793	chrX	676925	676973	+	YJR135W-A	YJR135W-A
3794	chrX	678858	678910	+	NA	NA
3795	chrX	684527	684543	+	YJR138W	NA
3796	chrX	684761	684780	+	NA	YJR138W
3797	chrX	685443	685493	+	NA	YJR138W
3798	chrX	695873	695932	+	YJR141W	YJR141W
3799	chrX	697114	697150	+	YJR142W	NA
3800	chrX	697332	697462	+	NA	YJR142W
3801	chrX	700835	700877	+	YJR144W	NA
3802	chrX	703551	703609	+	YJR146W	NA
3803	chrX	704078	704164	+	YJR147W	YJR146W
3804	chrX	704506	704532	+	NA	YJR147W
3805	chrX	705662	705726	+	YJR148W	NA
3806	chrX	706092	706092	+	NA	YJR148W
3807	chrX	707199	707226	+	YJR149W	YJR149W
3808	chrX	710960	711028	+	NA	NA
3809	chrX	718217	718265	+	NA	NA
3810	chrX	719379	719430	+	YJR152W	NA
3811	chrX	719607	719622	+	YJR152W	NA
3812	chrX	721617	721669	+	NA	NA
3813	chrX	722620	722651	+	YJR153W	NA
3814	chrX	723598	723646	+	NA	YJR153W
3815	chrX	724105	724164	+	NA	NA
3816	chrX	724335	724399	+	NA	NA
3817	chrX	725551	725761	+	YJR154W	NA
3818	chrX	727026	727119	+	YJR155W	NA
3819	chrX	727999	728011	+	NA	YJR155W
3820	chrX	740142	740153	+	NA	NA
3821	chrXI	5498	5553	+	YKL221W	NA
3822	chrXI	5676	5718	+	YKL221W	NA
3823	chrXI	7079	7117	+	NA	YKL006W
3824	chrXI	8042	8118	+	NA	NA
3825	chrXI	12809	12833	+	NA	NA
3826	chrXI	13010	13033	+	NA	NA
3827	chrXI	13789	13826	+	YKL219W	NA
3828	chrXI	13911	13942	+	YKL219W	NA
3829	chrXI	14370	14384	+	YKL219W	NA
3830	chrXI	14527	14546	+	YKL219W	YKL007W
3831	chrXI	15472	15496	+	NA	YKL007W
3832	chrXI	16972	16993	+	NA	NA
3833	chrXI	18610	18676	+	NA	NA
3834	chrXI	18999	19030	+	NA	NA
3835	chrXI	22168	22183	+	YKL217W	NA
3836	chrXI	22453	22507	+	NA	YKL009W
3837	chrXI	22728	22756	+	NA	YKL009W
3838	chrXI	22803	22854	+	NA	YKL009W
3839	chrXI	23779	23803	+	NA	YKL009W
3840	chrXI	25148	25183	+	YKL216W	NA
3841	chrXI	34332	34432	+	YKL212W	NA
3842	chrXI	38643	38661	+	YKL210W	NA
3843	chrXI	39101	39134	+	YKL210W	NA
3844	chrXI	45018	45042	+	NA	NA
3845	chrXI	45391	45414	+	NA	NA
3846	chrXI	47101	47176	+	YKL208W	NA
3847	chrXI	48151	48182	+	YKL207W	NA
3848	chrXI	48322	48357	+	NA	YKL023W
3849	chrXI	49997	50048	+	YKL205W	NA
3850	chrXI	53666	53686	+	YKL204W	NA
3851	chrXI	66487	66541	+	NA	NA
3852	chrXI	66884	66952	+	NA	NA
3853	chrXI	69362	69393	+	NA	NA
3854	chrXI	69744	69805	+	NA	NA
3855	chrXI	69919	69957	+	NA	NA
3856	chrXI	74002	74036	+	NA	NA
3857	chrXI	75770	75803	+	YKL195W	NA
3858	chrXI	76157	76211	+	NA	YKL031W
3859	chrXI	80071	80125	+	YKL191W	NA
3860	chrXI	81002	81021	+	YKL191W	NA
3861	chrXI	82899	82923	+	YKL190W	NA
3862	chrXI	84560	84625	+	YKL189W	NA
3863	chrXI	88697	88735	+	NA	NA
3864	chrXI	91360	91414	+	NA	NA
3865	chrXI	92153	92177	+	NA	NA
3866	chrXI	92281	92314	+	NA	NA
3867	chrXI	92754	92768	+	NA	NA
3868	chrXI	93543	93603	+	YKL185W	NA
3869	chrXI	94133	94201	+	YKL185W	NA
3870	chrXI	94613	94733	+	NA	YKL035W
3871	chrXI	95421	95446	+	NA	YKL035W
3872	chrXI	96548	96621	+	YKL184W	NA
3873	chrXI	98551	98618	+	YKL183W	NA
3874	chrXI	98760	98781	+	YKL183W	YKL038W
3875	chrXI	100102	100163	+	YKL182W	NA
3876	chrXI	100295	100440	+	YKL182W	NA
3877	chrXI	100590	100652	+	YKL182W	NA
3878	chrXI	100846	100856	+	NA	YKL039W
3879	chrXI	101222	101283	+	NA	YKL039W
3880	chrXI	101528	101538	+	NA	YKL039W
3881	chrXI	103983	103986	+	NA	YKL039W
3882	chrXI	104083	104117	+	NA	YKL039W
3883	chrXI	107099	107167	+	YKL181W	NA
3884	chrXI	107625	107759	+	NA	YKL041W
3885	chrXI	109082	109113	+	YKL180W	NA
3886	chrXI	109225	109248	+	YKL180W	NA
3887	chrXI	109437	109511	+	NA	YKL042W
3888	chrXI	114835	114866	+	NA	NA
3889	chrXI	115085	115116	+	NA	NA
3890	chrXI	118718	118777	+	YKL175W	NA
3891	chrXI	119267	119278	+	NA	YKL044W
3892	chrXI	122461	122499	+	YKL173W	NA
3893	chrXI	122555	122595	+	NA	YKL045W
3894	chrXI	125719	125750	+	YKL172W	NA
3895	chrXI	125912	125945	+	NA	YKL047W
3896	chrXI	126074	126102	+	NA	YKL047W
3897	chrXI	127328	127398	+	YKL171W	NA
3898	chrXI	130533	130598	+	YKL170W	NA
3899	chrXI	136311	136343	+	NA	NA
3900	chrXI	137239	137287	+	NA	NA
3901	chrXI	139987	140010	+	NA	NA
3902	chrXI	143268	143400	+	NA	NA
3903	chrXI	143579	143609	+	YKL163W	NA
3904	chrXI	144320	144357	+	YKL163W	NA
3905	chrXI	144465	144475	+	NA	YKL058W
3906	chrXI	145893	145906	+	NA	NA
3907	chrXI	150719	150742	+	NA	NA
3908	chrXI	151135	151241	+	NA	NA
3909	chrXI	151272	151452	+	NA	NA
3910	chrXI	151571	151612	+	NA	NA
3911	chrXI	153236	153261	+	YKL160W	NA
3912	chrXI	153467	153500	+	NA	YKL061W
3913	chrXI	154226	154247	+	YKL157W	NA
3914	chrXI	154566	154596	+	YKL157W	NA
3915	chrXI	154933	154979	+	YKL157W	NA
3916	chrXI	155544	155619	+	NA	YKL062W
3917	chrXI	156424	156470	+	NA	YKL062W
3918	chrXI	158215	158215	+	YKL156W	YKL062W
3919	chrXI	158585	158605	+	YKL156W	NA
3920	chrXI	158741	158809	+	NA	YKL064W
3921	chrXI	161502	161521	+	YKL154W	NA
3922	chrXI	162828	162908	+	YKL153W	NA
3923	chrXI	164923	164947	+	NA	NA
3924	chrXI	165306	165388	+	NA	NA
3925	chrXI	166180	166210	+	YKL150W	NA
3926	chrXI	166397	166495	+	NA	YKL067W
3927	chrXI	166730	166753	+	NA	YKL067W
3928	chrXI	166970	167004	+	NA	YKL067W
3929	chrXI	168412	168421	+	NA	NA
3930	chrXI	171737	171777	+	YKL146W	NA
3931	chrXI	171972	172035	+	NA	YKL068W
3932	chrXI	172112	172237	+	NA	YKL068W
3933	chrXI	174135	174190	+	YKL145W	NA
3934	chrXI	176102	176148	+	YKL143W	NA
3935	chrXI	176727	176757	+	YKL143W	NA
3936	chrXI	178406	178468	+	YKL142W	NA
3937	chrXI	179425	179438	+	YKL141W	NA
3938	chrXI	179625	179640	+	YKL141W	NA
3939	chrXI	180469	180702	+	YKL140W	NA
3940	chrXI	182754	182794	+	YKL139W	NA
3941	chrXI	185896	185912	+	YKL137W	NA
3942	chrXI	186111	186130	+	YKL136W	YKL078W
3943	chrXI	188958	188982	+	NA	NA
3944	chrXI	189346	189379	+	NA	NA
3945	chrXI	191683	191689	+	NA	NA
3946	chrXI	194353	194402	+	YKL131W	NA
3947	chrXI	195207	195216	+	NA	NA
3948	chrXI	196269	196326	+	NA	NA
3949	chrXI	200412	200455	+	NA	NA
3950	chrXI	200647	200731	+	NA	NA
3951	chrXI	200893	200926	+	NA	NA
3952	chrXI	200976	201019	+	NA	NA
3953	chrXI	201983	202078	+	NA	NA
3954	chrXI	202195	202199	+	NA	NA
3955	chrXI	203209	203266	+	YKL127W	NA
3956	chrXI	203471	203523	+	YKL127W	NA
3957	chrXI	204870	204894	+	NA	YKL081W
3958	chrXI	205494	205536	+	YKL126W	NA
3959	chrXI	205574	205656	+	YKL126W	NA
3960	chrXI	208116	208164	+	YKL125W	NA
3961	chrXI	210432	210498	+	YKL124W	NA
3962	chrXI	210997	211048	+	NA	YKL085W
3963	chrXI	213900	213947	+	YKL121W	NA
3964	chrXI	214598	214615	+	NA	YKL088W
3965	chrXI	217254	217267	+	YKL120W	NA
3966	chrXI	219405	219452	+	NA	YKL090W
3967	chrXI	220268	220301	+	YKL117W	NA
3968	chrXI	220651	220681	+	NA	YKL093W
3969	chrXI	222335	222348	+	NA	NA
3970	chrXI	223559	223595	+	NA	NA
3971	chrXI	224942	224968	+	NA	NA
3972	chrXI	225629	225679	+	YKL112W	NA
3973	chrXI	226086	226112	+	YKL112W	NA
3974	chrXI	226385	226503	+	YKL112W	NA
3975	chrXI	230265	230279	+	NA	NA
3976	chrXI	231101	231127	+	NA	NA
3977	chrXI	231308	231319	+	YKL109W	NA
3978	chrXI	231886	231971	+	YKL109W	NA
3979	chrXI	233538	233583	+	NA	YKL095W
3980	chrXI	234389	234420	+	YKL108W	NA
3981	chrXI	236091	236126	+	YKL107W	NA
3982	chrXI	236396	236428	+	NA	YKL096W-A
3983	chrXI	236537	236551	+	NA	YKL096W-A
3984	chrXI	237410	237523	+	YKL106W	NA
3985	chrXI	239318	239353	+	NA	NA
3986	chrXI	241141	241183	+	NA	NA
3987	chrXI	244553	244585	+	NA	NA
3988	chrXI	246129	246240	+	NA	NA
3989	chrXI	248572	248678	+	YKL101W	NA
3990	chrXI	256722	256766	+	YKL098W	NA
3991	chrXI	259205	259221	+	YKL096W-A	NA
3992	chrXI	259289	259325	+	NA	YKL107W
3993	chrXI	259996	260146	+	NA	NA
3994	chrXI	260624	260668	+	YKL096W	NA
3995	chrXI	261085	261090	+	YKL096W	NA
